year,stage,venue,date_time,summary,team1,score1,team2,score2
2019,,"MATCH 30
Rajiv Gandhi Intl. Cricket Stadium, Hyderabad
APR, SUN 14 , 8:00 pm IST",,DELHI CAPITALS WON BY 39 RUNS,Sunrisers Hyderabad,116,Delhi Capitals,155/7
2019,,"MATCH 29
Eden Gardens, Kolkata
APR, SUN 14 , 4:00 pm IST",,CHENNAI SUPER KINGS WON BY 5 WICKETS,Kolkata Knight Riders,161/8,Chennai Super Kings,162/5
2019,,"MATCH 28
IS Bindra Stadium, Mohali
APR, SAT 13 , 8:00 pm IST",,ROYAL CHALLENGERS BANGALORE WON BY 8 WICKETS,Punjab Kings,173/4,Royal Challengers Bangalore,174/2
2019,,"MATCH 27
Wankhede Stadium, Mumbai
APR, SAT 13 , 4:00 pm IST",,RAJASTHAN ROYALS WON BY 4 WICKETS,Mumbai Indians,187/5,Rajasthan Royals,188/6
2019,,"MATCH 26
Eden Gardens, Kolkata
APR, FRI 12 , 8:00 pm IST",,DELHI CAPITALS WON BY 7 WICKETS,Kolkata Knight Riders,178/7,Delhi Capitals,180/3
2019,,"MATCH 25
Sawai Mansingh Stadium, Jaipur
APR, THU 11 , 8:00 pm IST",,CHENNAI SUPER KINGS WON BY 4 WICKETS,Rajasthan Royals,151/7,Chennai Super Kings,155/6
2019,,"MATCH 24
Wankhede Stadium, Mumbai
APR, WED 10 , 8:00 pm IST",,MUMBAI INDIANS WON BY 3 WICKETS,Mumbai Indians,198/7,Punjab Kings,197/4
2019,,"MATCH 23
M. A. Chidambaram Stadium, Chennai
APR, TUE 9 , 8:00 pm IST",,CHENNAI SUPER KINGS WON BY 7 WICKETS,Chennai Super Kings,111/3,Kolkata Knight Riders,108/9
2019,,"MATCH 22
IS Bindra Stadium, Mohali
APR, MON 8 , 8:00 pm IST",,PUNJAB KINGS WON BY 6 WICKETS,Punjab Kings,151/4,Sunrisers Hyderabad,150/4
2019,,"MATCH 21
Sawai Mansingh Stadium, Jaipur
APR, SUN 7 , 8:00 pm IST",,KOLKATA KNIGHT RIDERS WON BY 8 WICKETS,Rajasthan Royals,139/3,Kolkata Knight Riders,140/2
2019,,"MATCH 20
M. Chinnaswamy Stadium, Bengaluru
APR, SUN 7 , 4:00 pm IST",,DELHI CAPITALS WON BY 4 WICKETS,Royal Challengers Bangalore,149/8,Delhi Capitals,152/6
2019,,"MATCH 19
Rajiv Gandhi Intl. Cricket Stadium, Hyderabad
APR, SAT 6 , 8:00 pm IST",,MUMBAI INDIANS WON BY 40 RUNS,Sunrisers Hyderabad,96,Mumbai Indians,136/7
2019,,"MATCH 18
M. A. Chidambaram Stadium, Chennai
APR, SAT 6 , 4:00 pm IST",,CHENNAI SUPER KINGS WON BY 22 RUNS,Chennai Super Kings,160/3,Punjab Kings,138/5
2019,,"MATCH 17
M. Chinnaswamy Stadium, Bengaluru
APR, FRI 5 , 8:00 pm IST",,KOLKATA KNIGHT RIDERS WON BY 5 WICKETS,Royal Challengers Bangalore,205/3,Kolkata Knight Riders,206/5
2019,,"MATCH 16
Arun Jaitley Stadium, Delhi
APR, THU 4 , 8:00 pm IST",,SUNRISERS HYDERABAD WON BY 5 WICKETS,Delhi Capitals,129/8,Sunrisers Hyderabad,131/5
2019,,"MATCH 15
Wankhede Stadium, Mumbai
APR, WED 3 , 8:00 pm IST",,MUMBAI INDIANS WON BY 37 RUNS,Mumbai Indians,170/5,Chennai Super Kings,133/8
2019,,"MATCH 14
Sawai Mansingh Stadium, Jaipur
APR, TUE 2 , 8:00 pm IST",,RAJASTHAN ROYALS WON BY 7 WICKETS,Rajasthan Royals,164/3,Royal Challengers Bangalore,158/4
2019,,"MATCH 13
IS Bindra Stadium, Mohali
APR, MON 1 , 8:00 pm IST",,PUNJAB KINGS WON BY 14 RUNS,Punjab Kings,166/9,Delhi Capitals,152
2019,,"MATCH 12
M. A. Chidambaram Stadium, Chennai
MAR, SUN 31 , 8:00 pm IST",,CHENNAI SUPER KINGS WON BY 8 RUNS,Chennai Super Kings,175/5,Rajasthan Royals,167/8
2019,,"MATCH 11
Rajiv Gandhi Intl. Cricket Stadium, Hyderabad
MAR, SUN 31 , 4:00 pm IST",,SUNRISERS HYDERABAD WON BY 118 RUNS,Sunrisers Hyderabad,231/2,Royal Challengers Bangalore,113
2019,,"MATCH 10
Arun Jaitley Stadium, Delhi
MAR, SAT 30 , 8:00 pm IST",,MATCH TIED (DELHI CAPITALS WON THE SUPER OVER),Delhi Capitals,185/6,Kolkata Knight Riders,185/8
2019,,"MATCH 9
IS Bindra Stadium, Mohali
MAR, SAT 30 , 4:00 pm IST",,PUNJAB KINGS WON BY 8 WICKETS,Punjab Kings,177/2,Mumbai Indians,176/7
2019,,"MATCH 8
Rajiv Gandhi Intl. Cricket Stadium, Hyderabad
MAR, FRI 29 , 8:00 pm IST",,SUNRISERS HYDERABAD WON BY 5 WICKETS,Sunrisers Hyderabad,201/5,Rajasthan Royals,198/2
2019,,"MATCH 7
M. Chinnaswamy Stadium, Bengaluru
MAR, THU 28 , 8:00 pm IST",,MUMBAI INDIANS WON BY 6 RUNS,Royal Challengers Bangalore,181/5,Mumbai Indians,187/8
2019,,"MATCH 6
Eden Gardens, Kolkata
MAR, WED 27 , 8:00 pm IST",,KOLKATA KNIGHT RIDERS WON BY 28 RUNS,Kolkata Knight Riders,218/4,Punjab Kings,190/4
2019,,"MATCH 5
Arun Jaitley Stadium, Delhi
MAR, TUE 26 , 8:00 pm IST",,CHENNAI SUPER KINGS WON BY 6 WICKETS,Delhi Capitals,147/6,Chennai Super Kings,150/4
2019,,"MATCH 4
Sawai Mansingh Stadium, Jaipur
MAR, MON 25 , 8:00 pm IST",,PUNJAB KINGS WON BY 14 RUNS,Rajasthan Royals,170/9,Punjab Kings,184/4
2019,,"MATCH 3
Wankhede Stadium, Mumbai
MAR, SUN 24 , 8:00 pm IST",,DELHI CAPITALS WON BY 37 RUNS,Mumbai Indians,176/9,Delhi Capitals,213/6
2019,,"MATCH 2
Eden Gardens, Kolkata
MAR, SUN 24 , 4:00 pm IST",,KOLKATA KNIGHT RIDERS WON BY 6 WICKETS,Kolkata Knight Riders,183/4,Sunrisers Hyderabad,181/3
2019,,"MATCH 1
M. A. Chidambaram Stadium, Chennai
MAR, SAT 23 , 8:00 pm IST",,CHENNAI SUPER KINGS WON BY 7 WICKETS,Chennai Super Kings,71/3,Royal Challengers Bangalore,70
2020,,"FINAL
Dubai International Cricket Stadium, Dubai
NOV, TUE 10 , 07:30 PM IST",,MUMBAI INDIANS WON BY 5 WICKETS,Mumbai Indians,157/5,Delhi Capitals,156/7
2020,,"MATCH 59
Sheikh Zayed Cricket Stadium, Abu Dhabi
NOV, SUN 8 , 07:30 PM IST",,DELHI CAPITALS WON BY 17 RUNS,Delhi Capitals,189/3,Sunrisers Hyderabad,172/8
2020,,"MATCH 58
Sheikh Zayed Cricket Stadium, Abu Dhabi
NOV, FRI 6 , 07:30 PM IST",,SUNRISERS HYDERABAD WON BY 6 WICKETS,Sunrisers Hyderabad,132/4,Royal Challengers Bangalore,131/7
2020,,"MATCH 57
Dubai International Cricket Stadium, Dubai
NOV, THU 5 , 07:30 PM IST",,MUMBAI INDIANS WON BY 57 RUNS,Mumbai Indians,200/5,Delhi Capitals,143/8
2020,,"MATCH 56
Sharjah Cricket Stadium, Sharjah
NOV, TUE 3 , 07:30 PM IST",,SUNRISERS HYDERABAD WON BY 10 WICKETS,Sunrisers Hyderabad,151/0,Mumbai Indians,149/8
2020,,"MATCH 55
Sheikh Zayed Cricket Stadium, Abu Dhabi
NOV, MON 2 , 07:30 PM IST",,DELHI CAPITALS WON BY 6 WICKETS,Delhi Capitals,154/4,Royal Challengers Bangalore,152/7
2020,,"MATCH 54
Dubai International Cricket Stadium, Dubai
NOV, SUN 1 , 07:30 PM IST",,KOLKATA KNIGHT RIDERS WON BY 60 RUNS,Kolkata Knight Riders,191/7,Rajasthan Royals,131/9
2020,,"MATCH 53
Sheikh Zayed Cricket Stadium, Abu Dhabi
NOV, SUN 1 , 03:30 PM IST",,CHENNAI SUPER KINGS WON BY 9 WICKETS,Chennai Super Kings,154/1,Punjab Kings,153/6
2020,,"MATCH 52
Sharjah Cricket Stadium, Sharjah
OCT, SAT 31 , 07:30 PM IST",,SUNRISERS HYDERABAD WON BY 5 WICKETS,Royal Challengers Bangalore,120/7,Sunrisers Hyderabad,121/5
2020,,"MATCH 51
Dubai International Cricket Stadium, Dubai
OCT, SAT 31 , 03:30 PM IST",,MUMBAI INDIANS WON BY 9 WICKETS,Delhi Capitals,110/9,Mumbai Indians,111/1
2020,,"MATCH 50
Sheikh Zayed Cricket Stadium, Abu Dhabi
OCT, FRI 30 , 07:30 PM IST",,RAJASTHAN ROYALS WON BY 7 WICKETS,Punjab Kings,185/4,Rajasthan Royals,186/3
2020,,"MATCH 49
Dubai International Cricket Stadium, Dubai
OCT, THU 29 , 07:30 PM IST",,CHENNAI SUPER KINGS WON BY 6 WICKETS,Chennai Super Kings,178/4,Kolkata Knight Riders,172/5
2020,,"MATCH 48
Sheikh Zayed Cricket Stadium, Abu Dhabi
OCT, WED 28 , 07:30 PM IST",,MUMBAI INDIANS WON BY 5 WICKETS,Mumbai Indians,166/5,Royal Challengers Bangalore,164/6
2020,,"MATCH 47
Dubai International Cricket Stadium, Dubai
OCT, TUE 27 , 07:30 PM IST",,SUNRISERS HYDERABAD WON BY 88 RUNS,Sunrisers Hyderabad,219/2,Delhi Capitals,131
2020,,"MATCH 46
Sharjah Cricket Stadium, Sharjah
OCT, MON 26 , 07:30 PM IST",,PUNJAB KINGS WON BY 8 WICKETS,Kolkata Knight Riders,149/9,Punjab Kings,150/2
2020,,"MATCH 45
Sheikh Zayed Cricket Stadium, Abu Dhabi
OCT, SUN 25 , 07:30 PM IST",,RAJASTHAN ROYALS WON BY 8 WICKETS,Rajasthan Royals,196/2,Mumbai Indians,195/5
2020,,"MATCH 44
Dubai International Cricket Stadium, Dubai
OCT, SUN 25 , 03:30 PM IST",,CHENNAI SUPER KINGS WON BY 8 WICKETS,Royal Challengers Bangalore,145/6,Chennai Super Kings,150/2
2020,,"MATCH 43
Dubai International Cricket Stadium, Dubai
OCT, SAT 24 , 07:30 PM IST",,PUNJAB KINGS WON BY 12 RUNS,Punjab Kings,126/7,Sunrisers Hyderabad,114
2020,,"MATCH 42
Sheikh Zayed Cricket Stadium, Abu Dhabi
OCT, SAT 24 , 03:30 PM IST",,KOLKATA KNIGHT RIDERS WON BY 59 RUNS,Kolkata Knight Riders,194/6,Delhi Capitals,135/9
2020,,"MATCH 41
Sharjah Cricket Stadium, Sharjah
OCT, FRI 23 , 07:30 PM IST",,MUMBAI INDIANS WON BY 10 WICKETS,Chennai Super Kings,114/9,Mumbai Indians,116/0
2020,,"MATCH 40
Dubai International Cricket Stadium, Dubai
OCT, THU 22 , 07:30 PM IST",,SUNRISERS HYDERABAD WON BY 8 WICKETS,Rajasthan Royals,154/6,Sunrisers Hyderabad,156/2
2020,,"MATCH 39
Sheikh Zayed Cricket Stadium, Abu Dhabi
OCT, WED 21 , 07:30 PM IST",,ROYAL CHALLENGERS BANGALORE WON BY 8 WICKETS,Kolkata Knight Riders,84/8,Royal Challengers Bangalore,85/2
2020,,"MATCH 38
Dubai International Cricket Stadium, Dubai
OCT, TUE 20 , 07:30 PM IST",,PUNJAB KINGS WON BY 5 WICKETS,Punjab Kings,167/5,Delhi Capitals,164/5
2020,,"MATCH 37
Sheikh Zayed Cricket Stadium, Abu Dhabi
OCT, MON 19 , 07:30 PM IST",,RAJASTHAN ROYALS WON BY 7 WICKETS,Chennai Super Kings,125/5,Rajasthan Royals,126/3
2020,,"MATCH 36
Dubai International Cricket Stadium, Dubai
OCT, SUN 18 , 07:30 PM IST",,MATCH TIED (KINGS XI PUNJAB WON ON SECOND SUPER OVER),Mumbai Indians,176/6,Punjab Kings,176/6
2020,,"MATCH 35
Sheikh Zayed Cricket Stadium, Abu Dhabi
OCT, SUN 18 , 03:30 PM IST",,MATCH TIED (KOLKATA KNIGHT RIDERS WON THE SUPER OVER),Sunrisers Hyderabad,163/6,Kolkata Knight Riders,163/5
2020,,"MATCH 34
Sharjah Cricket Stadium, Sharjah
OCT, SAT 17 , 07:30 PM IST",,DELHI CAPITALS WON BY 5 WICKETS,Delhi Capitals,185/5,Chennai Super Kings,179/4
2020,,"MATCH 33
Dubai International Cricket Stadium, Dubai
OCT, SAT 17 , 03:30 PM IST",,ROYAL CHALLENGERS BANGALORE WON BY 7 WICKETS,Rajasthan Royals,177/6,Royal Challengers Bangalore,179/3
2020,,"MATCH 32
Sheikh Zayed Cricket Stadium, Abu Dhabi
OCT, FRI 16 , 07:30 PM IST",,MUMBAI INDIANS WON BY 8 WICKETS,Mumbai Indians,149/2,Kolkata Knight Riders,148/5
2020,,"MATCH 31
Sharjah Cricket Stadium, Sharjah
OCT, THU 15 , 07:30 PM IST",,PUNJAB KINGS WON BY 8 WICKETS,Royal Challengers Bangalore,171/6,Punjab Kings,177/2
2020,,"MATCH 30
Dubai International Cricket Stadium, Dubai
OCT, WED 14 , 07:30 PM IST",,DELHI CAPITALS WON BY 13 RUNS,Delhi Capitals,161/7,Rajasthan Royals,148/8
2020,,"MATCH 29
Dubai International Cricket Stadium, Dubai
OCT, TUE 13 , 07:30 PM IST",,CHENNAI SUPER KINGS WON BY 20 RUNS,Sunrisers Hyderabad,147/8,Chennai Super Kings,167/6
2020,,"MATCH 28
Sharjah Cricket Stadium, Sharjah
OCT, MON 12 , 07:30 PM IST",,ROYAL CHALLENGERS BANGALORE WON BY 82 RUNS,Royal Challengers Bangalore,194/2,Kolkata Knight Riders,112/9
2020,,"MATCH 27
Sheikh Zayed Cricket Stadium, Abu Dhabi
OCT, SUN 11 , 07:30 PM IST",,MUMBAI INDIANS WON BY 5 WICKETS,Mumbai Indians,166/5,Delhi Capitals,162/4
2020,,"MATCH 26
Dubai International Cricket Stadium, Dubai
OCT, SUN 11 , 03:30 PM IST",,RAJASTHAN ROYALS WON BY 5 WICKETS,Sunrisers Hyderabad,158/4,Rajasthan Royals,163/5
2020,,"MATCH 25
Dubai International Cricket Stadium, Dubai
OCT, SAT 10 , 07:30 PM IST",,ROYAL CHALLENGERS BANGALORE WON BY 37 RUNS,Chennai Super Kings,132/8,Royal Challengers Bangalore,169/4
2020,,"MATCH 24
Sheikh Zayed Cricket Stadium, Abu Dhabi
OCT, SAT 10 , 03:30 PM IST",,KOLKATA KNIGHT RIDERS WON BY 2 RUNS,Punjab Kings,162/5,Kolkata Knight Riders,164/6
2020,,"MATCH 23
Sharjah Cricket Stadium, Sharjah
OCT, FRI 9 , 07:30 PM IST",,DELHI CAPITALS WON BY 46 RUNS,Rajasthan Royals,138,Delhi Capitals,184/8
2020,,"MATCH 22
Dubai International Cricket Stadium, Dubai
OCT, THU 8 , 07:30 PM IST",,SUNRISERS HYDERABAD WON BY 69 RUNS,Sunrisers Hyderabad,201/6,Punjab Kings,132
2020,,"MATCH 21
Sheikh Zayed Cricket Stadium, Abu Dhabi
OCT, WED 7 , 07:30 PM IST",,KOLKATA KNIGHT RIDERS WON BY 10 RUNS,Kolkata Knight Riders,167,Chennai Super Kings,157/5
2020,,"MATCH 20
Sheikh Zayed Cricket Stadium, Abu Dhabi
OCT, TUE 6 , 07:30 PM IST",,MUMBAI INDIANS WON BY 57 RUNS,Mumbai Indians,193/4,Rajasthan Royals,136
2020,,"MATCH 19
Dubai International Cricket Stadium, Dubai
OCT, MON 5 , 07:30 PM IST",,DELHI CAPITALS WON BY 59 RUNS,Royal Challengers Bangalore,137/9,Delhi Capitals,196/4
2020,,"MATCH 18
Dubai International Cricket Stadium, Dubai
OCT, SUN 4 , 07:30 PM IST",,CHENNAI SUPER KINGS WON BY 10 WICKETS,Punjab Kings,178/4,Chennai Super Kings,181/0
2020,,"MATCH 17
Sharjah Cricket Stadium, Sharjah
OCT, SUN 4 , 03:30 PM IST",,MUMBAI INDIANS WON BY 34 RUNS,Mumbai Indians,208/5,Sunrisers Hyderabad,174/7
2020,,"MATCH 16
Sharjah Cricket Stadium, Sharjah
OCT, SAT 3 , 07:30 PM IST",,DELHI CAPITALS WON BY 18 RUNS,Delhi Capitals,228/4,Kolkata Knight Riders,210/8
2020,,"MATCH 15
Sheikh Zayed Cricket Stadium, Abu Dhabi
OCT, SAT 3 , 03:30 PM IST",,ROYAL CHALLENGERS BANGALORE WON BY 8 WICKETS,Royal Challengers Bangalore,158/2,Rajasthan Royals,154/6
2020,,"MATCH 14
Dubai International Cricket Stadium, Dubai
OCT, FRI 2 , 07:30 PM IST",,SUNRISERS HYDERABAD WON BY 7 RUNS,Chennai Super Kings,157/5,Sunrisers Hyderabad,164/5
2020,,"MATCH 13
Sheikh Zayed Cricket Stadium, Abu Dhabi
OCT, THU 1 , 07:30 PM IST",,MUMBAI INDIANS WON BY 48 RUNS,Punjab Kings,143/8,Mumbai Indians,191/4
2020,,"MATCH 12
Dubai International Cricket Stadium, Dubai
SEP, WED 30 , 07:30 PM IST",,KOLKATA KNIGHT RIDERS WON BY 37 RUNS,Rajasthan Royals,137/9,Kolkata Knight Riders,174/6
2020,,"MATCH 11
Sheikh Zayed Cricket Stadium, Abu Dhabi
SEP, TUE 29 , 07:30 PM IST",,SUNRISERS HYDERABAD WON BY 15 RUNS,Delhi Capitals,147/7,Sunrisers Hyderabad,162/4
2020,,"MATCH 10
Dubai International Cricket Stadium, Dubai
SEP, MON 28 , 07:30 PM IST",,MATCH TIED (ROYAL CHALLENGERS BANGALORE WON THE SUPER OVER),Royal Challengers Bangalore,201/3,Mumbai Indians,201/5
2020,,"MATCH 9
Sharjah Cricket Stadium, Sharjah
SEP, SUN 27 , 07:30 PM IST",,RAJASTHAN ROYALS WON BY 4 WICKETS,Rajasthan Royals,226/6,Punjab Kings,223/2
2020,,"MATCH 8
Sheikh Zayed Cricket Stadium, Abu Dhabi
SEP, SAT 26 , 07:30 PM IST",,KOLKATA KNIGHT RIDERS WON BY 7 WICKETS,Kolkata Knight Riders,145/3,Sunrisers Hyderabad,142/4
2020,,"MATCH 7
Dubai International Cricket Stadium, Dubai
SEP, FRI 25 , 07:30 PM IST",,DELHI CAPITALS WON BY 44 RUNS,Chennai Super Kings,131/7,Delhi Capitals,175/3
2020,,"MATCH 6
Dubai International Cricket Stadium, Dubai
SEP, THU 24 , 07:30 PM IST",,PUNJAB KINGS WON BY 97 RUNS,Punjab Kings,206/3,Royal Challengers Bangalore,109
2020,,"MATCH 5
Sheikh Zayed Cricket Stadium, Abu Dhabi
SEP, WED 23 , 07:30 PM IST",,MUMBAI INDIANS WON BY 49 RUNS,Kolkata Knight Riders,146/9,Mumbai Indians,195/5
2020,,"MATCH 4
Sharjah Cricket Stadium, Sharjah
SEP, TUE 22 , 07:30 PM IST",,RAJASTHAN ROYALS WON BY 16 RUNS,Rajasthan Royals,216/7,Chennai Super Kings,200/6
2020,,"MATCH 3
Dubai International Cricket Stadium, Dubai
SEP, MON 21 , 07:30 PM IST",,ROYAL CHALLENGERS BANGALORE WON BY 10 RUNS,Sunrisers Hyderabad,153,Royal Challengers Bangalore,163/5
2020,,"MATCH 2
Dubai International Cricket Stadium, Dubai
SEP, SUN 20 , 07:30 PM IST",,MATCH TIED (DELHI CAPITALS WON THE SUPER OVER),Delhi Capitals,157/8,Punjab Kings,157/8
2020,,"MATCH 1
Sheikh Zayed Cricket Stadium, Abu Dhabi
SEP, SAT 19 , 07:30 PM IST",,CHENNAI SUPER KINGS WON BY 5 WICKETS,Mumbai Indians,162/9,Chennai Super Kings,166/5
2021,,"MATCH 60
Dubai International Stadium, Dubai
OCT, FRI 15 , 07:30 PM IST",,CHENNAI SUPER KINGS WON BY 27 RUNS,Chennai Super Kings,192/3,Kolkata Knight Riders,165/9
2021,,"MATCH 59
Sharjah Cricket Stadium, Sharjah
OCT, WED 13 , 07:30 PM IST",,KOLKATA KNIGHT RIDERS WON BY 3 WICKETS,Kolkata Knight Riders,136/7,Delhi Capitals,135/5
2021,,"MATCH 58
Sharjah Cricket Stadium, Sharjah
OCT, MON 11 , 07:30 PM IST",,KOLKATA KNIGHT RIDERS WON BY 4 WICKETS,Royal Challengers Bangalore,138/7,Kolkata Knight Riders,139/6
2021,,"MATCH 57
Dubai International Stadium, Dubai
OCT, SUN 10 , 07:30 PM IST",,CHENNAI SUPER KINGS WON BY 4 WICKETS,Delhi Capitals,172/5,Chennai Super Kings,173/6
2021,,"MATCH 55
Dubai International Stadium, Dubai
OCT, FRI 8 , 07:30 PM IST",,ROYAL CHALLENGERS BANGALORE WON BY 7 WICKETS,Royal Challengers Bangalore,166/3,Delhi Capitals,164/5
2021,,"MATCH 56
Zayed Cricket Stadium, Abu Dhabi
OCT, FRI 8 , 07:30 PM IST",,MUMBAI INDIANS WON BY 42 RUNS,Sunrisers Hyderabad,193/8,Mumbai Indians,235/9
2021,,"MATCH 54
Sharjah Cricket Stadium, Sharjah
OCT, THU 7 , 07:30 PM IST",,KOLKATA KNIGHT RIDERS WON BY 86 RUNS,Kolkata Knight Riders,171/4,Rajasthan Royals,85
2021,,"MATCH 53
Dubai International Stadium, Dubai
OCT, THU 7 , 03:30 PM IST",,PUNJAB KINGS WON BY 6 WICKETS,Chennai Super Kings,134/6,Punjab Kings,139/4
2021,,"MATCH 52
Zayed Cricket Stadium, Abu Dhabi
OCT, WED 6 , 07:30 PM IST",,SUNRISERS HYDERABAD WON BY 4 RUNS,Royal Challengers Bangalore,137/6,Sunrisers Hyderabad,141/7
2021,,"MATCH 51
Sharjah Cricket Stadium, Sharjah
OCT, TUE 5 , 07:30 PM IST",,MUMBAI INDIANS WON BY 8 WICKETS,Rajasthan Royals,90/9,Mumbai Indians,94/2
2021,,"MATCH 50
Dubai International Stadium, Dubai
OCT, MON 4 , 07:30 PM IST",,DELHI CAPITALS WON BY 3 WICKETS,Delhi Capitals,139/7,Chennai Super Kings,136/5
2021,,"MATCH 49
Dubai International Stadium, Dubai
OCT, SUN 3 , 07:30 PM IST",,KOLKATA KNIGHT RIDERS WON BY 6 WICKETS,Kolkata Knight Riders,119/4,Sunrisers Hyderabad,115/8
2021,,"MATCH 48
Sharjah Cricket Stadium, Sharjah
OCT, SUN 3 , 03:30 PM IST",,ROYAL CHALLENGERS BANGALORE WON BY 6 RUNS,Royal Challengers Bangalore,164/7,Punjab Kings,158/6
2021,,"MATCH 47
Zayed Cricket Stadium, Abu Dhabi
OCT, SAT 2 , 07:30 PM IST",,RAJASTHAN ROYALS WON BY 7 WICKETS,Rajasthan Royals,190/3,Chennai Super Kings,189/4
2021,,"MATCH 46
Sharjah Cricket Stadium, Sharjah
OCT, SAT 2 , 03:30 PM IST",,DELHI CAPITALS WON BY 4 WICKETS,Mumbai Indians,129/8,Delhi Capitals,132/6
2021,,"MATCH 45
Dubai International Stadium, Dubai
OCT, FRI 1 , 07:30 PM IST",,PUNJAB KINGS WON BY 5 WICKETS,Kolkata Knight Riders,165/7,Punjab Kings,168/5
2021,,"MATCH 44
Sharjah Cricket Stadium, Sharjah
SEP, THU 30 , 07:30 PM IST",,CHENNAI SUPER KINGS WON BY 6 WICKETS,Sunrisers Hyderabad,134/7,Chennai Super Kings,139/4
2021,,"MATCH 43
Dubai International Stadium, Dubai
SEP, WED 29 , 07:30 PM IST",,ROYAL CHALLENGERS BANGALORE WON BY 7 WICKETS,Rajasthan Royals,149/9,Royal Challengers Bangalore,153/3
2021,,"MATCH 42
Zayed Cricket Stadium, Abu Dhabi
SEP, TUE 28 , 07:30 PM IST",,MUMBAI INDIANS WON BY 6 WICKETS,Mumbai Indians,137/4,Punjab Kings,135/6
2021,,"MATCH 41
Sharjah Cricket Stadium, Sharjah
SEP, TUE 28 , 03:30 PM IST",,KOLKATA KNIGHT RIDERS WON BY 3 WICKETS,Kolkata Knight Riders,130/7,Delhi Capitals,127/9
2021,,"MATCH 40
Dubai International Stadium, Dubai
SEP, MON 27 , 07:30 PM IST",,SUNRISERS HYDERABAD WON BY 7 WICKETS,Sunrisers Hyderabad,167/3,Rajasthan Royals,164/5
2021,,"MATCH 39
Dubai International Stadium, Dubai
SEP, SUN 26 , 07:30 PM IST",,ROYAL CHALLENGERS BANGALORE WON BY 54 RUNS,Royal Challengers Bangalore,165/6,Mumbai Indians,111
2021,,"MATCH 38
Zayed Cricket Stadium, Abu Dhabi
SEP, SUN 26 , 03:30 PM IST",,CHENNAI SUPER KINGS WON BY 2 WICKETS,Chennai Super Kings,172/8,Kolkata Knight Riders,171/6
2021,,"MATCH 37
Sharjah Cricket Stadium, Sharjah
SEP, SAT 25 , 07:30 PM IST",,PUNJAB KINGS WON BY 5 RUNS,Sunrisers Hyderabad,120/7,Punjab Kings,125/7
2021,,"MATCH 36
Zayed Cricket Stadium, Abu Dhabi
SEP, SAT 25 , 03:30 PM IST",,DELHI CAPITALS WON BY 33 RUNS,Delhi Capitals,154/6,Rajasthan Royals,121/6
2021,,"MATCH 35
Sharjah Cricket Stadium, Sharjah
SEP, FRI 24 , 07:30 PM IST",,CHENNAI SUPER KINGS WON BY 6 WICKETS,Royal Challengers Bangalore,156/6,Chennai Super Kings,157/4
2021,,"MATCH 34
Zayed Cricket Stadium, Abu Dhabi
SEP, THU 23 , 07:30 PM IST",,KOLKATA KNIGHT RIDERS WON BY 7 WICKETS,Mumbai Indians,155/6,Kolkata Knight Riders,159/3
2021,,"MATCH 33
Dubai International Stadium, Dubai
SEP, WED 22 , 07:30 PM IST",,DELHI CAPITALS WON BY 8 WICKETS,Delhi Capitals,139/2,Sunrisers Hyderabad,134/9
2021,,"MATCH 32
Dubai International Stadium, Dubai
SEP, TUE 21 , 07:30 PM IST",,RAJASTHAN ROYALS WON BY 2 RUNS,Punjab Kings,183/4,Rajasthan Royals,185
2021,,"MATCH 31
Zayed Cricket Stadium, Abu Dhabi
SEP, MON 20 , 07:30 PM IST",,KOLKATA KNIGHT RIDERS WON BY 9 WICKETS,Kolkata Knight Riders,94/1,Royal Challengers Bangalore,92
2021,,"MATCH 30
Dubai International Stadium, Dubai
SEP, SUN 19 , 07:30 PM IST",,CHENNAI SUPER KINGS WON BY 20 RUNS,Chennai Super Kings,156/6,Mumbai Indians,136/8
2021,,"MATCH 29
Narendra Modi Stadium, Ahmedabad
MAY, SUN 2 , 7:30 pm IST",,DELHI CAPITALS WON BY 7 WICKETS,Punjab Kings,166/6,Delhi Capitals,167/3
2021,,"MATCH 28
Arun Jaitley Stadium, Delhi
MAY, SUN 2 , 3:30 pm IST",,RAJASTHAN ROYALS WON BY 55 RUNS,Rajasthan Royals,220/3,Sunrisers Hyderabad,165/8
2021,,"MATCH 27
Arun Jaitley Stadium, Delhi
MAY, SAT 1 , 7:30 pm IST",,MUMBAI INDIANS WON BY 4 WICKETS,Mumbai Indians,219/6,Chennai Super Kings,218/4
2021,,"MATCH 26
Narendra Modi Stadium, Ahmedabad
APR, FRI 30 , 7:30 pm IST",,PUNJAB KINGS WON BY 34 RUNS,Punjab Kings,179/5,Royal Challengers Bangalore,145/8
2021,,"MATCH 25
Narendra Modi Stadium, Ahmedabad
APR, THU 29 , 7:30 pm IST",,DELHI CAPITALS WON BY 7 WICKETS,Delhi Capitals,156/3,Kolkata Knight Riders,154/6
2021,,"MATCH 24
Arun Jaitley Stadium, Delhi
APR, THU 29 , 3:30 pm IST",,MUMBAI INDIANS WON BY 7 WICKETS,Mumbai Indians,172/3,Rajasthan Royals,171/4
2021,,"MATCH 23
Arun Jaitley Stadium, Delhi
APR, WED 28 , 7:30 pm IST",,CHENNAI SUPER KINGS WON BY 7 WICKETS,Chennai Super Kings,173/3,Sunrisers Hyderabad,171/3
